product,brand,product_code,price,inward_date,dispatch_date,quantity_sold,sales,lap_customer_id,lap_customer_name,customer_location,region,processor_specification,ram,rom,ssd,stock_in_inventory
0,4,20126,16272,2023-12-10,2023-12-14,5,219725,0,0,5733,3,6,12,1028,512,21
0,2,12100,19173,2024-04-17,2024-07-22,8,529160,1,1,8365,4,7,16,1028,1028,25
0,6,9826,18576,2024-06-22,2024-01-01,10,616850,1,1,9802,4,6,12,256,512,48
0,2,3631,18069,2023-11-01,2023-12-19,8,463792,2,2,4880,0,7,4,128,2028,18
0,7,10970,19914,2024-04-07,2023-12-18,3,214809,2,2,8166,4,4,6,64,256,53
0,1,19127,22113,2023-06-12,2024-08-05,1,88439,3,3,1825,0,0,12,1028,2028,7
0,7,6059,11697,2025-01-10,2024-06-07,10,187510,4,4,14141,1,1,16,1028,1028,27
0,5,24235,18923,2023-04-16,2024-12-04,3,192999,5,5,617,3,2,16,128,512,12
0,1,6832,5221,2024-02-18,2023-07-11,9,1247814,6,6,7201,1,5,8,128,2028,11
0,0,9560,1024,2024-05-25,2024-08-13,10,1075820,7,7,9198,4,7,12,512,256,7
0,0,14179,19280,2024-06-04,2023-08-27,4,267556,8,8,9410,4,0,4,512,512,55
0,0,2217,2056,2023-09-28,2024-11-24,9,1037313,9,9,4365,2,2,12,128,2028,22
0,4,534,4428,2024-05-31,2024-02-06,6,798378,10,10,9322,4,3,16,256,512,35
0,6,3942,23333,2024-01-04,2023-10-31,7,687799,11,11,6242,0,6,4,256,2028,3
0,6,5874,11235,2024-09-09,2024-05-03,8,1472184,12,12,11539,2,1,4,256,2028,35
0,2,22115,10131,2023-06-15,2024-03-20,2,351346,13,13,1889,2,5,12,512,1028,42
0,1,22331,17798,2023-04-02,2024-02-10,2,111898,14,14,274,4,3,12,256,256,59
0,4,13012,5550,2023-06-07,2025-02-15,5,706400,15,15,1773,1,0,16,256,1028,60
0,1,11276,6084,2023-06-26,2025-04-10,1,145280,16,16,2169,1,0,6,64,2028,36
0,8,12944,2900,2023-06-22,2023-07-08,7,852068,17,17,2050,4,4,16,512,2028,9
0,0,23855,7066,2023-07-10,2024-12-12,7,1066835,18,18,2482,3,1,12,512,512,32
0,1,17975,7352,2024-11-28,2025-01-07,5,772845,19,19,13164,4,7,8,512,1028,1
0,8,2929,5391,2023-09-15,2025-04-06,1,139975,20,20,4012,2,6,4,512,1028,17
0,3,6551,21367,2024-07-14,2024-12-15,5,413705,21,21,10348,2,5,6,64,256,4
0,4,6417,15650,2024-07-26,2024-07-23,1,39080,22,22,10586,3,1,32,512,512,17
0,7,12377,21494,2024-04-07,2024-05-26,9,753345,23,23,8160,4,2,12,128,2028,39
0,1,13344,9270,2023-07-13,2023-06-24,4,675820,24,24,2577,2,4,6,256,512,45
0,5,14678,4054,2023-11-03,2025-02-01,6,781524,25,25,4926,0,7,6,128,1028,29
0,1,4478,17113,2024-05-26,2023-07-26,2,101182,26,26,9219,4,1,8,128,2028,23
0,1,11164,3695,2024-07-12,2025-03-20,3,382764,27,27,10288,3,5,6,512,1028,53
0,1,14459,14096,2025-01-17,2024-02-12,5,130790,28,28,14320,2,1,16,512,1028,22
0,0,21080,4618,2024-10-12,2023-05-26,10,1344250,29,29,12220,1,3,16,1028,1028,54
0,1,13780,22790,2023-10-14,2024-11-14,2,187926,30,30,4622,4,3,32,64,256,24
0,8,6314,7484,2023-11-25,2023-12-25,8,1244032,30,30,5417,0,7,6,128,512,23
